LineId,Date,Time,time_zone,Level,Component,log_tag,Content,EventId,EventTemplate
130,2021-12-20,15:50:58.415,PST,INFO,26127-89,TFAInventoryManager$DumpInventoryXMLThread,Dumping files from store to Lucene,9130bc05,Dumping files from store to Lucene
131,2021-12-20,15:50:58.430,PST,INFO,26127-90,ClusterEventViewer,Started Cluster Event Viewer Thread...,bc759995,Started Cluster Event Viewer Thread...
132,2021-12-20,15:50:58.430,PST,INFO,26127-90,ClusterEventViewer,Opening Socket on loopback for CEMonitoring,96a6834b,Opening Socket on loopback for CEMonitoring
133,2021-12-20,15:50:58.431,PST,INFO,26127-90,ClusterEventViewer,OS Name : linux,a46841b4,OS <*> : <*>
134,2021-12-20,15:50:58.432,PST,INFO,26127-90,ClusterEventViewer,SSLContext Protocol : TLSv1.2,dc454045,SSLContext Protocol : TLSv<*>.<*>
135,2021-12-20,15:50:58.432,PST,INFO,26127-1,TFAMain,Starting the TFABootMonitor thread...,3c78f661,Starting the <*> thread...
136,2021-12-20,15:50:58.432,PST,INFO,26127-90,ClusterEventViewer,"Restricted Protocols :  SSLv3, SSLv2Hello, TLSv1, TLSv1.1",b4a3be0d,"Restricted Protocols : SSLv<*>, SSLv<*>Hello, TLSv<*>, TLSv<*>.<*>"
137,2021-12-20,15:50:58.433,PST,INFO,26127-90,ClusterEventViewer,"EnabledProtocol :  TLSv1.3, TLSv1.2",5fe6e6bc,"EnabledProtocol : TLSv<*>.<*>, TLSv<*>.<*>"
138,2021-12-20,15:50:58.433,PST,INFO,26127-90,ClusterEventViewer,Inet Address : localhost/127.0.0.1,e9215582,Inet Address : <*>
139,2021-12-20,15:50:58.433,PST,INFO,26127-90,ClusterEventViewer,Port : 59976,590c12d2,Port : <*>
140,2021-12-20,15:50:58.434,PST,INFO,26127-90,ClusterEventViewer,"TFA Cipher List :  TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",e4cad206,TFA <*> <*> : <*>
141,2021-12-20,15:50:58.434,PST,INFO,26127-92,TFABootMonitor,TFABootMonitor Started,0a6bcca8,TFABootMonitor Started
142,2021-12-20,15:50:58.434,PST,INFO,26127-90,ClusterEventViewer,"Trying to enable Cipher Suites :  TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256",6cc30822,Trying to enable Cipher Suites : TLS<*>SHA<*>
143,2021-12-20,15:50:58.435,PST,INFO,26127-90,ClusterEventViewer,Cipher Suite Enabled : TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,9d073060,Cipher Suite Enabled : TLS<*>SHA<*>
144,2021-12-20,15:50:58.435,PST,INFO,26127-90,ClusterEventViewer,Cipher Suite Enabled : TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,9d073060,Cipher Suite Enabled : TLS<*>SHA<*>
145,2021-12-20,15:50:58.437,PST,INFO,26127-93,PeriodicChecker,PeriodicChecker : Waiting for 5 minutes before starting first rediscovery,59d5be0a,PeriodicChecker : Waiting for <*> minutes before starting first rediscovery
146,2021-12-20,15:50:58.437,PST,INFO,26127-89,FileEntity,getFilesFromStore: Dumping to lucene started..,2e7c26c5,getFilesFromStore: Dumping to lucene started..
147,2021-12-20,15:50:58.439,PST,INFO,26127-92,TFABootMonitor,"Command output: 23:50:58 up 2 days,  5:34,  1 user,  load average: 1.72, 1.33, 1.45",ac55b145,"Command output: <*>:<*>:<*> up <*> days, <*>:<*>, <*> user, load average: <*>.<*>, <*>.<*>, <*>.<*>"
148,2021-12-20,15:50:58.439,PST,INFO,26127-92,TFABootMonitor,Node is not rebooted,872d7236,Node is not rebooted
149,2021-12-20,15:50:58.440,PST,INFO,26127-94,AddNodesThread,Started Add Nodes Thread...,de66cefd,Started Add Nodes Thread...
150,2021-12-20,15:50:58.453,PST,INFO,26127-89,FileEntity,Metadata index not existed,6c12d378,Metadata index not existed
