EventId,EventTemplate,Occurrences
29630b61,Action args in DiagCollection: -srdc autosrdc -database orcl -event_time Dec<*><*><*><*><*><*>,1
c93de91c,flags for diagcollect -srdc autosrdc -database orcl -event_time Dec<*><*><*><*><*><*>,1
c735e325,Current User of Diagcollect Command : oradb,2
799d649a,"Total Inputs found in ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>auto SRDC :<*>",1
e8197cc2,SRDC <*>,3
b0263211,"Components found in ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>,ORA-<*>auto SRDC :{}",1
49fea765,"Components to Inventory : RDBMS, OS, CRS, TNS, ASM, CHA, ASMPROXY, ASMIO, CFGTOOLS, AFD",2
27efd7d9,"Components in Entity : rdbms, os, crs, compliance, tns, chmos, asm, asmproxy, asmio, cha, cfgtools, afd",1
912a390b,"startDate : Mon Dec <*> <*>:<*>:<*> PST <*> endDate : Mon Dec <*> <*>:<*>:<*> PST <*> zipFileShortName : tfa<*><*>.zip components : {rdbms= orcl , os=null, crs=null, tns=null, asm=null, cha=null, asmproxy=null, asmio=null, cfgtools=null, afd=null} actions : {rdbms= orcl , os=null, crs=null, compliance=null, chmos=null, asm=null, cha=null, afd=null} remoteHosts : den<*>xrz chmNodelist : isClusterRequest : true isTrimOn : true isACRSanitize: falseisACRMask: false noCore : true isNologs : false request user : oradb",1
19dfeb61,"Components with ADR :{rdbms= orcl , os=null, crs=null, tns=null, asm=null, cha=null, asmproxy=null, asmio=null, cfgtools=null, afd=null}",2
ccbf67a4,DATAorg.glassfish.json.JsonArrayBuilderImpl@<*>a<*>e<*>,1
23de8803,Action args in DiagCollection: -from <*>,2
a8c9caf4,flags for diagcollect -from <*>,2
